deviceID,aX,aY,aZ,gX,gY,gZ
SPU3,0.08,9.39,-2.07,-0.01,0.05,0.00
SPU3,0.08,9.39,-2.07,-0.00,-0.01,0.01
SPU3,0.08,9.39,-2.07,-0.01,0.00,0.00
SPU3,0.08,9.39,-2.07,0.01,0.00,0.01
SPU3,0.08,9.39,-2.07,-0.02,-0.03,0.00
SPU3,0.15,9.50,-2.14,-0.02,-0.03,0.00
SPU3,0.15,9.46,-2.14,-0.02,-0.03,0.00
SPU3,0.34,9.50,-2.07,-0.02,-0.03,0.00
SPU3,0.30,9.46,-2.07,-0.02,-0.03,0.00
SPU3,0.38,9.58,-2.11,-0.02,-0.03,0.00
SPU3,0.27,9.35,-2.07,-0.02,-0.03,0.00
SPU3,0.46,9.46,-2.07,-0.02,-0.03,0.00
SPU3,0.11,9.54,-2.11,-0.02,-0.03,0.00
SPU3,0.30,9.42,-2.11,-0.02,-0.03,0.00
SPU3,0.30,9.46,-2.14,-0.02,-0.03,0.00
SPU3,0.30,9.46,-2.14,0.03,0.01,-0.01
SPU3,0.23,9.50,-2.18,0.03,0.01,-0.01
SPU3,0.23,9.54,-2.11,0.03,0.01,-0.01
SPU3,0.23,9.54,-2.11,0.01,0.00,-0.02
SPU3,0.23,9.54,-2.11,0.02,0.00,0.00
SPU3,0.23,9.54,-2.11,-0.00,-0.03,-0.00
SPU3,0.23,9.54,-2.11,0.00,0.02,-0.01
SPU3,0.11,9.54,-2.22,0.00,0.02,-0.01
SPU3,0.11,9.42,-2.11,0.00,0.02,-0.01
SPU3,0.46,9.42,-2.22,0.00,0.02,-0.01
SPU3,0.04,9.58,-2.18,0.00,0.02,-0.01
SPU3,-0.11,9.58,-2.14,0.00,0.02,-0.01
SPU3,0.15,9.46,-2.14,0.00,0.02,-0.01
SPU3,0.27,9.46,-2.14,0.00,0.02,-0.01
SPU3,0.34,9.50,-2.14,0.00,0.02,-0.01
SPU3,0.11,9.39,-2.11,0.00,0.02,-0.01
SPU3,0.23,9.35,-2.07,0.00,0.02,-0.01
SPU3,0.23,9.35,-2.07,0.00,0.02,-0.00
SPU3,0.23,9.35,-2.07,-0.01,-0.02,0.00
SPU3,0.15,9.54,-2.11,-0.01,-0.02,0.00
SPU3,0.15,9.54,-2.11,0.02,0.03,-0.00
SPU3,0.15,9.54,-2.11,-0.01,0.00,0.01
SPU3,0.19,9.58,-2.11,-0.01,0.00,0.01
SPU3,0.19,9.58,-2.11,0.02,-0.00,-0.01
SPU3,0.08,9.39,-2.14,0.02,-0.00,-0.01
SPU3,0.30,9.42,-2.07,0.02,-0.00,-0.01
SPU3,0.27,9.54,-2.18,0.02,-0.00,-0.01
SPU3,0.11,9.42,-2.11,0.02,-0.00,-0.01
SPU3,0.19,9.35,-2.03,0.02,-0.00,-0.01
SPU3,0.08,9.50,-2.14,0.02,-0.00,-0.01
SPU3,0.30,9.39,-2.11,0.02,-0.00,-0.01
SPU3,0.30,9.42,-2.07,0.02,-0.00,-0.01
SPU3,0.30,9.42,-2.07,-0.01,-0.03,0.01
SPU3,0.19,9.46,-2.18,-0.01,-0.03,0.01
SPU3,0.30,9.35,-2.07,-0.01,-0.03,0.01
SPU3,0.30,9.35,-2.07,-0.03,0.00,0.00
SPU3,0.19,9.39,-2.07,-0.03,0.00,0.00
SPU3,0.19,9.39,-2.07,0.00,0.01,0.00
SPU3,0.19,9.39,-2.07,-0.01,-0.04,0.00
SPU3,0.30,9.42,-2.11,-0.01,-0.04,0.00
SPU3,0.30,9.42,-2.11,0.01,-0.03,0.00
SPU3,0.30,9.42,-2.11,-0.02,0.02,0.01
SPU3,0.38,9.39,-2.11,-0.02,0.02,0.01
SPU3,0.15,9.46,-2.11,-0.02,0.02,0.01
SPU3,0.08,9.42,-2.11,-0.02,0.02,0.01
SPU3,0.34,9.39,-2.11,-0.02,0.02,0.01
SPU3,0.23,9.54,-2.11,-0.02,0.02,0.01
SPU3,0.23,9.42,-2.11,-0.02,0.02,0.01
SPU3,0.23,9.35,-2.11,-0.02,0.02,0.01
SPU3,0.23,9.35,-2.11,-0.02,-0.01,0.00
SPU3,0.30,9.39,-2.11,-0.02,-0.01,0.00
SPU3,0.19,9.46,-2.11,-0.02,-0.01,0.00
SPU3,0.19,9.46,-2.11,0.01,0.00,-0.00
SPU3,0.27,9.50,-2.14,0.01,0.00,-0.00
SPU3,0.27,9.50,-2.14,0.00,0.02,0.00
SPU3,0.27,9.50,-2.14,0.00,-0.03,0.01
SPU3,0.27,9.50,-2.14,0.01,-0.02,-0.00
SPU3,0.27,9.50,-2.14,0.01,0.03,-0.00
SPU3,0.27,9.50,-2.14,-0.01,0.01,-0.00
SPU3,0.30,9.50,-2.14,-0.01,0.01,-0.00
SPU3,0.23,9.42,-2.14,-0.01,0.01,-0.00
SPU3,0.19,9.54,-2.11,-0.01,0.01,-0.00
SPU3,0.27,9.39,-2.11,-0.01,0.01,-0.00
SPU3,0.34,9.46,-2.11,-0.01,0.01,-0.00
SPU3,0.23,9.42,-2.14,-0.01,0.01,-0.00
SPU3,0.30,9.46,-2.11,-0.01,0.01,-0.00
SPU3,0.30,9.46,-2.11,0.00,-0.01,-0.01
SPU3,0.27,9.50,-2.14,0.00,-0.01,-0.01
SPU3,0.19,9.42,-2.11,0.00,-0.01,-0.01
SPU3,0.19,9.42,-2.11,0.01,-0.01,0.00
SPU3,0.11,9.54,-2.22,0.01,-0.01,0.00
SPU3,0.34,9.50,-2.14,0.01,-0.01,0.00
SPU3,0.34,9.50,-2.14,0.01,0.02,0.00
SPU3,0.34,9.50,-2.14,-0.01,-0.03,0.00
SPU3,0.34,9.50,-2.14,0.02,-0.03,-0.01
SPU3,0.34,9.50,-2.14,0.01,0.01,-0.01
SPU3,0.00,9.46,-2.11,0.01,0.01,-0.01
SPU3,0.11,9.50,-2.14,0.01,0.01,-0.01
SPU3,0.30,9.54,-2.18,0.01,0.01,-0.01
SPU3,0.11,9.54,-2.18,0.01,0.01,-0.01
SPU3,0.00,9.50,-2.18,0.01,0.01,-0.01
SPU3,0.34,9.54,-2.18,0.01,0.01,-0.01
SPU3,0.23,9.58,-2.18,0.01,0.01,-0.01
SPU3,0.00,9.54,-2.14,0.01,0.01,-0.01
SPU3,0.11,9.39,-2.18,0.01,0.01,-0.01
SPU3,0.50,9.50,-2.14,0.01,0.01,-0.01
SPU3,0.50,9.50,-2.14,-0.00,0.01,-0.00
SPU3,0.50,9.50,-2.14,0.00,-0.04,0.01
SPU3,0.34,9.50,-2.18,0.00,-0.04,0.01
SPU3,0.34,9.50,-2.18,-0.01,0.03,-0.01
SPU3,0.34,9.50,-2.18,0.00,-0.02,0.00
SPU3,0.34,9.50,-2.18,-0.01,-0.02,0.01
SPU3,0.34,9.50,-2.18,0.01,0.01,-0.00
SPU3,0.34,9.50,-2.18,-0.01,0.03,0.00
SPU3,0.00,9.58,-2.14,-0.01,0.03,0.00
SPU3,0.27,9.42,-2.11,-0.01,0.03,0.00
SPU3,0.19,9.46,-2.11,-0.01,0.03,0.00
